# Muv 	 log10_phi
-26.0000	-14.8521
-25.7500	-13.8929
-25.5000	-13.0587
-25.2500	-12.3286
-25.0000	-11.6848
-24.7500	-11.1131
-24.5000	-10.6008
-24.2500	-10.1366
-24.0000	-9.7110
-23.7500	-9.3172
-23.5000	-8.9509
-23.2500	-8.6091
-23.0000	-8.2891
-22.7500	-7.9881
-22.5000	-7.7032
-22.2500	-7.4315
-22.0000	-7.1705
-21.7500	-6.9183
-21.5000	-6.6737
-21.2500	-6.4359
-21.0000	-6.2041
-20.7500	-5.9779
-20.5000	-5.7568
-20.2500	-5.5404
-20.0000	-5.3282
-19.7500	-5.1200
-19.5000	-4.9155
-19.2500	-4.7145
-19.0000	-4.5170
-18.7500	-4.3230
-18.5000	-4.1326
-18.2500	-3.9458
-18.0000	-3.7628
-17.7500	-3.5837
-17.5000	-3.4086
-17.2500	-3.2377
-17.0000	-3.0711
-16.7500	-2.9089
-16.5000	-2.7514
-16.2500	-2.5985
-16.0000	-2.4506
-15.7500	-2.3076
-15.5000	-2.1698
-15.2500	-2.0372
-15.0000	-1.9101
-14.7500	-1.7884
-14.5000	-1.6724
-14.2500	-1.5622
-14.0000	-1.4579
-13.7500	-1.3597
-13.5000	-1.2676
-13.2500	-1.1818
-13.0000	-1.1024
-12.7500	-1.0296
-12.5000	-0.9634
-12.2500	-0.9040
-12.0000	-0.8515
-11.7500	-0.8059
-11.5000	-0.7675
-11.2500	-0.7362
-11.0000	-0.7121
-10.7500	-0.6955
-10.5000	-0.6862
-10.2500	-0.6845
-10.0000	-0.6903
-9.7500	-0.7037
-9.5000	-0.7249
-9.2500	-0.7538
-9.0000	-0.7905
-8.7500	-0.8351
-8.5000	-0.8876
-8.2500	-0.9480
