# Muv 	 log10_phi
-26.0000	-19.0812
-25.7500	-18.4194
-25.5000	-17.7547
-25.2500	-17.0994
-25.0000	-16.4630
-24.7500	-15.8503
-24.5000	-15.2632
-24.2500	-14.7012
-24.0000	-14.1629
-23.7500	-13.6464
-23.5000	-13.1500
-23.2500	-12.6720
-23.0000	-12.2109
-22.7500	-11.7656
-22.5000	-11.3350
-22.2500	-10.9183
-22.0000	-10.5148
-21.7500	-10.1237
-21.5000	-9.7447
-21.2500	-9.3772
-21.0000	-9.0208
-20.7500	-8.6753
-20.5000	-8.3404
-20.2500	-8.0158
-20.0000	-7.7012
-19.7500	-7.3964
-19.5000	-7.1013
-19.2500	-6.8155
-19.0000	-6.5390
-18.7500	-6.2715
-18.5000	-6.0127
-18.2500	-5.7627
-18.0000	-5.5211
-17.7500	-5.2878
-17.5000	-5.0627
-17.2500	-4.8456
-17.0000	-4.6364
-16.7500	-4.4351
-16.5000	-4.2414
-16.2500	-4.0554
-16.0000	-3.8768
-15.7500	-3.7058
-15.5000	-3.5421
-15.2500	-3.3858
-15.0000	-3.2369
-14.7500	-3.0952
-14.5000	-2.9608
-14.2500	-2.8336
-14.0000	-2.7137
-13.7500	-2.6010
-13.5000	-2.4956
-13.2500	-2.3974
-13.0000	-2.3064
-12.7500	-2.2228
-12.5000	-2.1464
-12.2500	-2.0773
-12.0000	-2.0155
-11.7500	-1.9610
-11.5000	-1.9139
-11.2500	-1.8741
-11.0000	-1.8417
-10.7500	-1.8167
-10.5000	-1.7992
-10.2500	-1.7890
-10.0000	-1.7864
-9.7500	-1.7912
-9.5000	-1.8035
-9.2500	-1.8232
-9.0000	-1.8506
-8.7500	-1.8854
-8.5000	-1.9278
-8.2500	-1.9778
