# Muv 	 logphi
-26.0000	-19.5732
-25.7500	-19.0282
-25.5000	-18.4893
-25.2500	-17.9566
-25.0000	-17.4300
-24.7500	-16.9096
-24.5000	-16.3958
-24.2500	-15.8889
-24.0000	-15.3895
-23.7500	-14.8983
-23.5000	-14.4157
-23.2500	-13.9426
-23.0000	-13.4794
-22.7500	-13.0267
-22.5000	-12.5847
-22.2500	-12.1539
-22.0000	-11.7343
-21.7500	-11.3261
-21.5000	-10.9293
-21.2500	-10.5438
-21.0000	-10.1697
-20.7500	-9.8067
-20.5000	-9.4547
-20.2500	-9.1136
-20.0000	-8.7831
-19.7500	-8.4631
-19.5000	-8.1533
-19.2500	-7.8535
-19.0000	-7.5636
-18.7500	-7.2833
-18.5000	-7.0124
-18.2500	-6.7507
-18.0000	-6.4982
-17.7500	-6.2544
-17.5000	-6.0195
-17.2500	-5.7930
-17.0000	-5.5750
-16.7500	-5.3653
-16.5000	-5.1637
-16.2500	-4.9702
-16.0000	-4.7847
-15.7500	-4.6070
-15.5000	-4.4372
-15.2500	-4.2750
-15.0000	-4.1205
-14.7500	-3.9736
-14.5000	-3.8342
-14.2500	-3.7024
-14.0000	-3.5781
-13.7500	-3.4611
-13.5000	-3.3517
-13.2500	-3.2496
-13.0000	-3.1549
-12.7500	-3.0676
-12.5000	-2.9876
-12.2500	-2.9150
-12.0000	-2.8498
-11.7500	-2.7919
-11.5000	-2.7413
-11.2500	-2.6982
-11.0000	-2.6623
-10.7500	-2.6338
-10.5000	-2.6127
-10.2500	-2.5989
-10.0000	-2.5925
-9.7500	-2.5935
-9.5000	-2.6019
-9.2500	-2.6176
-9.0000	-2.6408
-8.7500	-2.6713
-8.5000	-2.7092
-8.2500	-2.7546
