# Muv 	 log10_phi
-26.0000	-15.6113
-25.7500	-14.7033
-25.5000	-13.8977
-25.2500	-13.1810
-25.0000	-12.5400
-24.7500	-11.9625
-24.5000	-11.4373
-24.2500	-10.9552
-24.0000	-10.5094
-23.7500	-10.0951
-23.5000	-9.7087
-23.2500	-9.3469
-23.0000	-9.0065
-22.7500	-8.6841
-22.5000	-8.3767
-22.2500	-8.0817
-22.0000	-7.7972
-21.7500	-7.5216
-21.5000	-7.2541
-21.2500	-6.9939
-21.0000	-6.7402
-20.7500	-6.4926
-20.5000	-6.2504
-20.2500	-6.0133
-20.0000	-5.7809
-19.7500	-5.5528
-19.5000	-5.3291
-19.2500	-5.1096
-19.0000	-4.8943
-18.7500	-4.6834
-18.5000	-4.4769
-18.2500	-4.2749
-18.0000	-4.0776
-17.7500	-3.8850
-17.5000	-3.6974
-17.2500	-3.5147
-17.0000	-3.3373
-16.7500	-3.1650
-16.5000	-2.9982
-16.2500	-2.8368
-16.0000	-2.6809
-15.7500	-2.5307
-15.5000	-2.3863
-15.2500	-2.2477
-15.0000	-2.1150
-14.7500	-1.9883
-14.5000	-1.8678
-14.2500	-1.7534
-14.0000	-1.6453
-13.7500	-1.5436
-13.5000	-1.4484
-13.2500	-1.3597
-13.0000	-1.2778
-12.7500	-1.2025
-12.5000	-1.1341
-12.2500	-1.0727
-12.0000	-1.0182
-11.7500	-0.9708
-11.5000	-0.9306
-11.2500	-0.8976
-11.0000	-0.8720
-10.7500	-0.8537
-10.5000	-0.8429
-10.2500	-0.8395
-10.0000	-0.8437
-9.7500	-0.8555
-9.5000	-0.8750
-9.2500	-0.9022
-9.0000	-0.9371
-8.7500	-0.9798
-8.5000	-1.0304
-8.2500	-1.0888
