# Muv 	 logphi
-26.0000	-20.4069
-25.7500	-19.8900
-25.5000	-19.3804
-25.2500	-18.8781
-25.0000	-18.3832
-24.7500	-17.8957
-24.5000	-17.4157
-24.2500	-16.9432
-24.0000	-16.4784
-23.7500	-16.0215
-23.5000	-15.5724
-23.2500	-15.1314
-23.0000	-14.6985
-22.7500	-14.2739
-22.5000	-13.8578
-22.2500	-13.4503
-22.0000	-13.0514
-21.7500	-12.6614
-21.5000	-12.2802
-21.2500	-11.9081
-21.0000	-11.5449
-20.7500	-11.1909
-20.5000	-10.8459
-20.2500	-10.5100
-20.0000	-10.1832
-19.7500	-9.8654
-19.5000	-9.5567
-19.2500	-9.2569
-19.0000	-8.9660
-18.7500	-8.6839
-18.5000	-8.4105
-18.2500	-8.1458
-18.0000	-7.8897
-17.7500	-7.6421
-17.5000	-7.4028
-17.2500	-7.1719
-17.0000	-6.9492
-16.7500	-6.7347
-16.5000	-6.5282
-16.2500	-6.3297
-16.0000	-6.1392
-15.7500	-5.9565
-15.5000	-5.7816
-15.2500	-5.6145
-15.0000	-5.4550
-14.7500	-5.3032
-14.5000	-5.1590
-14.2500	-5.0223
-14.0000	-4.8932
-13.7500	-4.7715
-13.5000	-4.6572
-13.2500	-4.5504
-13.0000	-4.4510
-12.7500	-4.3589
-12.5000	-4.2742
-12.2500	-4.1968
-12.0000	-4.1267
-11.7500	-4.0639
-11.5000	-4.0084
-11.2500	-3.9602
-11.0000	-3.9192
-10.7500	-3.8855
-10.5000	-3.8591
-10.2500	-3.8399
-10.0000	-3.8280
-9.7500	-3.8232
-9.5000	-3.8258
-9.2500	-3.8355
-9.0000	-3.8525
-8.7500	-3.8767
-8.5000	-3.9082
-8.2500	-3.9469
