# Muv 	 log10_phi
-26.0000	-18.5701
-25.7500	-17.7903
-25.5000	-17.0453
-25.2500	-16.3425
-25.0000	-15.6827
-24.7500	-15.0635
-24.5000	-14.4816
-24.2500	-13.9332
-24.0000	-13.4143
-23.7500	-12.9212
-23.5000	-12.4507
-23.2500	-11.9997
-23.0000	-11.5661
-22.7500	-11.1479
-22.5000	-10.7439
-22.2500	-10.3528
-22.0000	-9.9737
-21.7500	-9.6058
-21.5000	-9.2485
-21.2500	-8.9013
-21.0000	-8.5638
-20.7500	-8.2356
-20.5000	-7.9166
-20.2500	-7.6065
-20.0000	-7.3052
-19.7500	-7.0126
-19.5000	-6.7285
-19.2500	-6.4529
-19.0000	-6.1856
-18.7500	-5.9265
-18.5000	-5.6755
-18.2500	-5.4325
-18.0000	-5.1974
-17.7500	-4.9701
-17.5000	-4.7505
-17.2500	-4.5385
-17.0000	-4.3341
-16.7500	-4.1371
-16.5000	-3.9474
-16.2500	-3.7651
-16.0000	-3.5900
-15.7500	-3.4222
-15.5000	-3.2615
-15.2500	-3.1080
-15.0000	-2.9616
-14.7500	-2.8224
-14.5000	-2.6903
-14.2500	-2.5652
-14.0000	-2.4473
-13.7500	-2.3366
-13.5000	-2.2330
-13.2500	-2.1365
-13.0000	-2.0472
-12.7500	-1.9652
-12.5000	-1.8903
-12.2500	-1.8227
-12.0000	-1.7624
-11.7500	-1.7094
-11.5000	-1.6637
-11.2500	-1.6254
-11.0000	-1.5945
-10.7500	-1.5710
-10.5000	-1.5549
-10.2500	-1.5463
-10.0000	-1.5451
-9.7500	-1.5515
-9.5000	-1.5654
-9.2500	-1.5869
-9.0000	-1.6159
-8.7500	-1.6525
-8.5000	-1.6967
-8.2500	-1.7486
