# Muv 	 log10_phi
-26.0000	-15.2200
-25.7500	-14.2888
-25.5000	-13.4700
-25.2500	-12.7471
-25.0000	-12.1054
-24.7500	-11.5316
-24.5000	-11.0135
-24.2500	-10.5408
-24.0000	-10.1053
-23.7500	-9.7014
-23.5000	-9.3252
-23.2500	-8.9738
-23.0000	-8.6441
-22.7500	-8.3330
-22.5000	-8.0375
-22.2500	-7.7547
-22.0000	-7.4823
-21.7500	-7.2188
-21.5000	-6.9631
-21.2500	-6.7143
-21.0000	-6.4718
-20.7500	-6.2351
-20.5000	-6.0037
-20.2500	-5.7770
-20.0000	-5.5548
-19.7500	-5.3367
-19.5000	-5.1225
-19.2500	-4.9122
-19.0000	-4.7057
-18.7500	-4.5031
-18.5000	-4.3045
-18.2500	-4.1100
-18.0000	-3.9197
-17.7500	-3.7337
-17.5000	-3.5522
-17.2500	-3.3754
-17.0000	-3.2032
-16.7500	-3.0360
-16.5000	-2.8737
-16.2500	-2.7165
-16.0000	-2.5646
-15.7500	-2.4180
-15.5000	-2.2768
-15.2500	-2.1412
-15.0000	-2.0112
-14.7500	-1.8871
-14.5000	-1.7688
-14.2500	-1.6564
-14.0000	-1.5502
-13.7500	-1.4502
-13.5000	-1.3565
-13.2500	-1.2692
-13.0000	-1.1885
-12.7500	-1.1144
-12.5000	-1.0470
-12.2500	-0.9865
-12.0000	-0.9329
-11.7500	-0.8864
-11.5000	-0.8470
-11.2500	-0.8147
-11.0000	-0.7898
-10.7500	-0.7722
-10.5000	-0.7620
-10.2500	-0.7593
-10.0000	-0.7642
-9.7500	-0.7767
-9.5000	-0.7969
-9.2500	-0.8248
-9.0000	-0.8605
-8.7500	-0.9040
-8.5000	-0.9554
-8.2500	-1.0146
