# Muv 	 log10_phi
-26.0000	-17.7584
-25.7500	-16.9241
-25.5000	-16.1542
-25.2500	-15.4442
-25.0000	-14.7879
-24.7500	-14.1794
-24.5000	-13.6130
-24.2500	-13.0839
-24.0000	-12.5877
-23.7500	-12.1201
-23.5000	-11.6771
-23.2500	-11.2551
-23.0000	-10.8513
-22.7500	-10.4631
-22.5000	-10.0888
-22.2500	-9.7267
-22.0000	-9.3759
-21.7500	-9.0354
-21.5000	-8.7044
-21.2500	-8.3822
-21.0000	-8.0683
-20.7500	-7.7624
-20.5000	-7.4640
-20.2500	-7.1730
-20.0000	-6.8893
-19.7500	-6.6128
-19.5000	-6.3434
-19.2500	-6.0812
-19.0000	-5.8261
-18.7500	-5.5781
-18.5000	-5.3373
-18.2500	-5.1035
-18.0000	-4.8769
-17.7500	-4.6573
-17.5000	-4.4447
-17.2500	-4.2392
-17.0000	-4.0406
-16.7500	-3.8490
-16.5000	-3.6644
-16.2500	-3.4866
-16.0000	-3.3158
-15.7500	-3.1518
-15.5000	-2.9948
-15.2500	-2.8446
-15.0000	-2.7013
-14.7500	-2.5649
-14.5000	-2.4353
-14.2500	-2.3128
-14.0000	-2.1971
-13.7500	-2.0885
-13.5000	-1.9869
-13.2500	-1.8923
-13.0000	-1.8048
-12.7500	-1.7244
-12.5000	-1.6512
-12.2500	-1.5851
-12.0000	-1.5263
-11.7500	-1.4748
-11.5000	-1.4305
-11.2500	-1.3936
-11.0000	-1.3641
-10.7500	-1.3420
-10.5000	-1.3273
-10.2500	-1.3202
-10.0000	-1.3205
-9.7500	-1.3284
-9.5000	-1.3438
-9.2500	-1.3668
-9.0000	-1.3975
-8.7500	-1.4358
-8.5000	-1.4818
-8.2500	-1.5354
