# Muv 	 log10_phi
-26.0000	-22.1174
-25.7500	-20.8866
-25.5000	-19.6078
-25.2500	-18.3168
-25.0000	-17.0290
-24.7500	-15.7498
-24.5000	-14.4807
-24.2500	-13.2224
-24.0000	-11.9708
-23.7500	-10.7011
-23.5000	-9.4053
-23.2500	-8.1713
-23.0000	-6.9818
-22.7500	-6.1310
-22.5000	-5.5157
-22.2500	-5.0472
-22.0000	-4.6740
-21.7500	-4.3634
-21.5000	-4.0987
-21.2500	-3.8701
-21.0000	-3.6699
-20.7500	-3.4916
-20.5000	-3.3309
-20.2500	-3.1850
-20.0000	-3.0517
-19.7500	-2.9283
-19.5000	-2.8123
-19.2500	-2.7018
-19.0000	-2.5957
-18.7500	-2.4933
-18.5000	-2.3942
-18.2500	-2.2979
-18.0000	-2.2038
-17.7500	-2.1111
-17.5000	-2.0194
-17.2500	-1.9282
-17.0000	-1.8374
-16.7500	-1.7468
-16.5000	-1.6564
-16.2500	-1.5664
-16.0000	-1.4767
-15.7500	-1.3875
-15.5000	-1.2989
-15.2500	-1.2111
-15.0000	-1.1242
-14.7500	-1.0385
-14.5000	-0.9545
-14.2500	-0.8725
-14.0000	-0.7928
-13.7500	-0.7160
-13.5000	-0.6425
-13.2500	-0.5727
-13.0000	-0.5071
-12.7500	-0.4461
-12.5000	-0.3902
-12.2500	-0.3397
-12.0000	-0.2951
-11.7500	-0.2567
-11.5000	-0.2249
-11.2500	-0.1999
-11.0000	-0.1821
-10.7500	-0.1717
-10.5000	-0.1690
-10.2500	-0.1742
-10.0000	-0.1875
-9.7500	-0.2091
-9.5000	-0.2391
-9.2500	-0.2777
-9.0000	-0.3251
-8.7500	-0.3813
-8.5000	-0.4464
-8.2500	-0.5207
