# Muv 	 log10_phi
-26.0000	-16.8753
-25.7500	-16.0154
-25.5000	-15.2351
-25.2500	-14.5256
-25.0000	-13.8775
-24.7500	-13.2821
-24.5000	-12.7322
-24.2500	-12.2219
-24.0000	-11.7464
-23.7500	-11.3016
-23.5000	-10.8834
-23.2500	-10.4881
-23.0000	-10.1121
-22.7500	-9.7524
-22.5000	-9.4066
-22.2500	-9.0728
-22.0000	-8.7498
-21.7500	-8.4365
-21.5000	-8.1319
-21.2500	-7.8353
-21.0000	-7.5462
-20.7500	-7.2639
-20.5000	-6.9880
-20.2500	-6.7183
-20.0000	-6.4545
-19.7500	-6.1966
-19.5000	-5.9445
-19.2500	-5.6982
-19.0000	-5.4578
-18.7500	-5.2233
-18.5000	-4.9949
-18.2500	-4.7725
-18.0000	-4.5563
-17.7500	-4.3462
-17.5000	-4.1425
-17.2500	-3.9449
-17.0000	-3.7538
-16.7500	-3.5689
-16.5000	-3.3905
-16.2500	-3.2184
-16.0000	-3.0528
-15.7500	-2.8937
-15.5000	-2.7410
-15.2500	-2.5949
-15.0000	-2.4553
-14.7500	-2.3223
-14.5000	-2.1959
-14.2500	-2.0763
-14.0000	-1.9633
-13.7500	-1.8572
-13.5000	-1.7578
-13.2500	-1.6654
-13.0000	-1.5799
-12.7500	-1.5014
-12.5000	-1.4299
-12.2500	-1.3656
-12.0000	-1.3084
-11.7500	-1.2584
-11.5000	-1.2156
-11.2500	-1.1802
-11.0000	-1.1522
-10.7500	-1.1315
-10.5000	-1.1183
-10.2500	-1.1126
-10.0000	-1.1144
-9.7500	-1.1238
-9.5000	-1.1408
-9.2500	-1.1654
-9.0000	-1.1977
-8.7500	-1.2377
-8.5000	-1.2854
-8.2500	-1.3409
