# Muv 	 log10_phi
-26.0000	-19.2951
-25.7500	-18.7108
-25.5000	-18.1253
-25.2500	-17.5403
-25.0000	-16.9588
-24.7500	-16.3845
-24.5000	-15.8207
-24.2500	-15.2698
-24.0000	-14.7334
-23.7500	-14.2122
-23.5000	-13.7065
-23.2500	-13.2161
-23.0000	-12.7410
-22.7500	-12.2806
-22.5000	-11.8346
-22.2500	-11.4026
-22.0000	-10.9840
-21.7500	-10.5786
-21.5000	-10.1859
-21.2500	-9.8055
-21.0000	-9.4371
-20.7500	-9.0804
-20.5000	-8.7351
-20.2500	-8.4008
-20.0000	-8.0773
-19.7500	-7.7642
-19.5000	-7.4614
-19.2500	-7.1685
-19.0000	-6.8854
-18.7500	-6.6117
-18.5000	-6.3473
-18.2500	-6.0919
-18.0000	-5.8454
-17.7500	-5.6075
-17.5000	-5.3781
-17.2500	-5.1570
-17.0000	-4.9441
-16.7500	-4.7392
-16.5000	-4.5423
-16.2500	-4.3532
-16.0000	-4.1718
-15.7500	-3.9981
-15.5000	-3.8319
-15.2500	-3.6733
-15.0000	-3.5221
-14.7500	-3.3784
-14.5000	-3.2420
-14.2500	-3.1131
-14.0000	-2.9914
-13.7500	-2.8771
-13.5000	-2.7701
-13.2500	-2.6705
-13.0000	-2.5781
-12.7500	-2.4930
-12.5000	-2.4153
-12.2500	-2.3449
-12.0000	-2.2818
-11.7500	-2.2261
-11.5000	-2.1777
-11.2500	-2.1366
-11.0000	-2.1030
-10.7500	-2.0767
-10.5000	-2.0578
-10.2500	-2.0464
-10.0000	-2.0423
-9.7500	-2.0457
-9.5000	-2.0566
-9.2500	-2.0749
-9.0000	-2.1007
-8.7500	-2.1340
-8.5000	-2.1748
-8.2500	-2.2231
