# Muv 	 logphi
-26.0000	-19.7597
-25.7500	-19.2229
-25.5000	-18.6929
-25.2500	-18.1697
-25.0000	-17.6533
-24.7500	-17.1438
-24.5000	-16.6414
-24.2500	-16.1461
-24.0000	-15.6585
-23.7500	-15.1786
-23.5000	-14.7071
-23.2500	-14.2441
-23.0000	-13.7902
-22.7500	-13.3457
-22.5000	-12.9109
-22.2500	-12.4862
-22.0000	-12.0717
-21.7500	-11.6676
-21.5000	-11.2741
-21.2500	-10.8911
-21.0000	-10.5187
-20.7500	-10.1569
-20.5000	-9.8056
-20.2500	-9.4646
-20.0000	-9.1340
-19.7500	-8.8134
-19.5000	-8.5028
-19.2500	-8.2020
-19.0000	-7.9108
-18.7500	-7.6292
-18.5000	-7.3568
-18.2500	-7.0936
-18.0000	-6.8394
-17.7500	-6.5940
-17.5000	-6.3572
-17.2500	-6.1291
-17.0000	-5.9093
-16.7500	-5.6979
-16.5000	-5.4946
-16.2500	-5.2994
-16.0000	-5.1122
-15.7500	-4.9329
-15.5000	-4.7614
-15.2500	-4.5977
-15.0000	-4.4417
-14.7500	-4.2933
-14.5000	-4.1524
-14.2500	-4.0192
-14.0000	-3.8934
-13.7500	-3.7751
-13.5000	-3.6642
-13.2500	-3.5607
-13.0000	-3.4647
-12.7500	-3.3760
-12.5000	-3.2947
-12.2500	-3.2207
-12.0000	-3.1541
-11.7500	-3.0949
-11.5000	-3.0429
-11.2500	-2.9983
-11.0000	-2.9611
-10.7500	-2.9311
-10.5000	-2.9085
-10.2500	-2.8932
-10.0000	-2.8853
-9.7500	-2.8847
-9.5000	-2.8914
-9.2500	-2.9055
-9.0000	-2.9270
-8.7500	-2.9557
-8.5000	-2.9919
-8.2500	-3.0354
