# Muv 	 logphi
-26.0000	-20.1581
-25.7500	-19.6357
-25.5000	-19.1204
-25.2500	-18.6125
-25.0000	-18.1118
-24.7500	-17.6185
-24.5000	-17.1326
-24.2500	-16.6542
-24.0000	-16.1836
-23.7500	-15.7207
-23.5000	-15.2659
-23.2500	-14.8192
-23.0000	-14.3808
-22.7500	-13.9509
-22.5000	-13.5297
-22.2500	-13.1174
-22.0000	-12.7141
-21.7500	-12.3199
-21.5000	-11.9350
-21.2500	-11.5595
-21.0000	-11.1934
-20.7500	-10.8368
-20.5000	-10.4896
-20.2500	-10.1518
-20.0000	-9.8235
-19.7500	-9.5045
-19.5000	-9.1949
-19.2500	-8.8944
-19.0000	-8.6031
-18.7500	-8.3209
-18.5000	-8.0475
-18.2500	-7.7830
-18.0000	-7.5272
-17.7500	-7.2801
-17.5000	-7.0415
-17.2500	-6.8112
-17.0000	-6.5893
-16.7500	-6.3757
-16.5000	-6.1701
-16.2500	-5.9726
-16.0000	-5.7831
-15.7500	-5.6015
-15.5000	-5.4277
-15.2500	-5.2617
-15.0000	-5.1034
-14.7500	-4.9528
-14.5000	-4.8097
-14.2500	-4.6742
-14.0000	-4.5463
-13.7500	-4.4258
-13.5000	-4.3128
-13.2500	-4.2072
-13.0000	-4.1091
-12.7500	-4.0183
-12.5000	-3.9348
-12.2500	-3.8587
-12.0000	-3.7900
-11.7500	-3.7286
-11.5000	-3.6744
-11.2500	-3.6276
-11.0000	-3.5881
-10.7500	-3.5558
-10.5000	-3.5309
-10.2500	-3.5132
-10.0000	-3.5028
-9.7500	-3.4997
-9.5000	-3.5038
-9.2500	-3.5152
-9.0000	-3.5339
-8.7500	-3.5598
-8.5000	-3.5931
-8.2500	-3.6336
