# Muv 	 log10_phi
-26.0000	-16.4432
-25.7500	-15.5697
-25.5000	-14.7828
-25.2500	-14.0723
-25.0000	-13.4275
-24.7500	-12.8386
-24.5000	-12.2969
-24.2500	-11.7958
-24.0000	-11.3301
-23.7500	-10.8957
-23.5000	-10.4887
-23.2500	-10.1054
-23.0000	-9.7421
-22.7500	-9.3957
-22.5000	-9.0633
-22.2500	-8.7430
-22.0000	-8.4332
-21.7500	-8.1327
-21.5000	-7.8407
-21.2500	-7.5565
-21.0000	-7.2793
-20.7500	-7.0087
-20.5000	-6.7441
-20.2500	-6.4852
-20.0000	-6.2317
-19.7500	-5.9835
-19.5000	-5.7406
-19.2500	-5.5030
-19.0000	-5.2706
-18.7500	-5.0436
-18.5000	-4.8221
-18.2500	-4.6061
-18.0000	-4.3958
-17.7500	-4.1911
-17.5000	-3.9923
-17.2500	-3.7994
-17.0000	-3.6124
-16.7500	-3.4314
-16.5000	-3.2565
-16.2500	-3.0877
-16.0000	-2.9250
-15.7500	-2.7686
-15.5000	-2.6185
-15.2500	-2.4746
-15.0000	-2.3371
-14.7500	-2.2061
-14.5000	-2.0815
-14.2500	-1.9635
-14.0000	-1.8521
-13.7500	-1.7473
-13.5000	-1.6493
-13.2500	-1.5581
-13.0000	-1.4737
-12.7500	-1.3963
-12.5000	-1.3258
-12.2500	-1.2624
-12.0000	-1.2061
-11.7500	-1.1570
-11.5000	-1.1152
-11.2500	-1.0806
-11.0000	-1.0533
-10.7500	-1.0335
-10.5000	-1.0211
-10.2500	-1.0162
-10.0000	-1.0189
-9.7500	-1.0291
-9.5000	-1.0470
-9.2500	-1.0725
-9.0000	-1.1057
-8.7500	-1.1466
-8.5000	-1.1953
-8.2500	-1.2518
