# Muv 	 log10_phi
-26.0000	-19.0931
-25.7500	-17.9535
-25.5000	-16.8011
-25.2500	-15.6517
-25.0000	-14.5172
-24.7500	-13.4096
-24.5000	-12.3436
-24.2500	-11.3394
-24.0000	-10.4269
-23.7500	-9.6286
-23.5000	-8.9420
-23.2500	-8.3503
-23.0000	-7.8352
-22.7500	-7.3816
-22.5000	-6.9773
-22.2500	-6.6125
-22.0000	-6.2804
-21.7500	-5.9757
-21.5000	-5.6946
-21.2500	-5.4338
-21.0000	-5.1905
-20.7500	-4.9622
-20.5000	-4.7472
-20.2500	-4.5437
-20.0000	-4.3503
-19.7500	-4.1659
-19.5000	-3.9891
-19.2500	-3.8187
-19.0000	-3.6539
-18.7500	-3.4939
-18.5000	-3.3380
-18.2500	-3.1859
-18.0000	-3.0372
-17.7500	-2.8918
-17.5000	-2.7495
-17.2500	-2.6101
-17.0000	-2.4736
-16.7500	-2.3398
-16.5000	-2.2090
-16.2500	-2.0810
-16.0000	-1.9561
-15.7500	-1.8343
-15.5000	-1.7159
-15.2500	-1.6010
-15.0000	-1.4898
-14.7500	-1.3825
-14.5000	-1.2794
-14.2500	-1.1808
-14.0000	-1.0868
-13.7500	-0.9976
-13.5000	-0.9136
-13.2500	-0.8350
-13.0000	-0.7620
-12.7500	-0.6949
-12.5000	-0.6338
-12.2500	-0.5790
-12.0000	-0.5306
-11.7500	-0.4889
-11.5000	-0.4541
-11.2500	-0.4262
-11.0000	-0.4055
-10.7500	-0.3920
-10.5000	-0.3860
-10.2500	-0.3876
-10.0000	-0.3967
-9.7500	-0.4137
-9.5000	-0.4385
-9.2500	-0.4712
-9.0000	-0.5120
-8.7500	-0.5608
-8.5000	-0.6179
-8.2500	-0.6831
