# Muv 	 log10_phi
-26.0000	-19.7409
-25.7500	-18.4786
-25.5000	-17.2081
-25.2500	-15.9381
-25.0000	-14.6747
-24.7500	-13.4244
-24.5000	-12.1929
-24.2500	-10.9857
-24.0000	-9.8104
-23.7500	-8.7584
-23.5000	-7.9172
-23.2500	-7.2505
-23.0000	-6.7090
-22.7500	-6.2550
-22.5000	-5.8652
-22.2500	-5.5253
-22.0000	-5.2247
-21.7500	-4.9546
-21.5000	-4.7090
-21.2500	-4.4842
-21.0000	-4.2774
-20.7500	-4.0862
-20.5000	-3.9082
-20.2500	-3.7412
-20.0000	-3.5836
-19.7500	-3.4342
-19.5000	-3.2922
-19.2500	-3.1566
-19.0000	-3.0264
-18.7500	-2.9006
-18.5000	-2.7785
-18.2500	-2.6591
-18.0000	-2.5419
-17.7500	-2.4266
-17.5000	-2.3129
-17.2500	-2.2007
-17.0000	-2.0899
-16.7500	-1.9805
-16.5000	-1.8723
-16.2500	-1.7654
-16.0000	-1.6599
-15.7500	-1.5558
-15.5000	-1.4534
-15.2500	-1.3529
-15.0000	-1.2545
-14.7500	-1.1586
-14.5000	-1.0654
-14.2500	-0.9754
-14.0000	-0.8888
-13.7500	-0.8061
-13.5000	-0.7276
-13.2500	-0.6537
-13.0000	-0.5847
-12.7500	-0.5209
-12.5000	-0.4627
-12.2500	-0.4105
-12.0000	-0.3644
-11.7500	-0.3248
-11.5000	-0.2918
-11.2500	-0.2658
-11.0000	-0.2469
-10.7500	-0.2354
-10.5000	-0.2314
-10.2500	-0.2351
-10.0000	-0.2466
-9.7500	-0.2660
-9.5000	-0.2936
-9.2500	-0.3294
-9.0000	-0.3734
-8.7500	-0.4259
-8.5000	-0.4869
-8.2500	-0.5565
