# Muv 	 log10_phi
-26.0000	-19.4360
-25.7500	-18.8780
-25.5000	-18.3244
-25.2500	-17.7750
-25.0000	-17.2301
-24.7500	-16.6904
-24.5000	-16.1568
-24.2500	-15.6306
-24.0000	-15.1131
-23.7500	-14.6055
-23.5000	-14.1087
-23.2500	-13.6235
-23.0000	-13.1505
-22.7500	-12.6899
-22.5000	-12.2419
-22.2500	-11.8067
-22.0000	-11.3841
-21.7500	-10.9740
-21.5000	-10.5764
-21.2500	-10.1908
-21.0000	-9.8172
-20.7500	-9.4553
-20.5000	-9.1047
-20.2500	-8.7654
-20.0000	-8.4369
-19.7500	-8.1191
-19.5000	-7.8117
-19.2500	-7.5144
-19.0000	-7.2269
-18.7500	-6.9491
-18.5000	-6.6808
-18.2500	-6.4217
-18.0000	-6.1716
-17.7500	-5.9303
-17.5000	-5.6976
-17.2500	-5.4735
-17.0000	-5.2577
-16.7500	-5.0501
-16.5000	-4.8506
-16.2500	-4.6590
-16.0000	-4.4753
-15.7500	-4.2994
-15.5000	-4.1312
-15.2500	-3.9706
-15.0000	-3.8176
-14.7500	-3.6721
-14.5000	-3.5341
-14.2500	-3.4036
-14.0000	-3.2805
-13.7500	-3.1647
-13.5000	-3.0564
-13.2500	-2.9554
-13.0000	-2.8618
-12.7500	-2.7755
-12.5000	-2.6965
-12.2500	-2.6249
-12.0000	-2.5606
-11.7500	-2.5037
-11.5000	-2.4542
-11.2500	-2.4119
-11.0000	-2.3771
-10.7500	-2.3496
-10.5000	-2.3295
-10.2500	-2.3168
-10.0000	-2.3115
-9.7500	-2.3136
-9.5000	-2.3231
-9.2500	-2.3400
-9.0000	-2.3643
-8.7500	-2.3961
-8.5000	-2.4354
-8.2500	-2.4821
