# Muv 	 log10_phi
-26.0000	-14.5045
-25.7500	-13.5099
-25.5000	-12.6564
-25.2500	-11.9174
-25.0000	-11.2706
-24.7500	-10.6998
-24.5000	-10.1921
-24.2500	-9.7357
-24.0000	-9.3200
-23.7500	-8.9370
-23.5000	-8.5812
-23.2500	-8.2494
-23.0000	-7.9392
-22.7500	-7.6481
-22.5000	-7.3736
-22.2500	-7.1127
-22.0000	-6.8628
-21.7500	-6.6219
-21.5000	-6.3885
-21.2500	-6.1615
-21.0000	-5.9403
-20.7500	-5.7245
-20.5000	-5.5135
-20.2500	-5.3070
-20.0000	-5.1046
-19.7500	-4.9060
-19.5000	-4.7108
-19.2500	-4.5189
-19.0000	-4.3302
-18.7500	-4.1447
-18.5000	-3.9624
-18.2500	-3.7834
-18.0000	-3.6079
-17.7500	-3.4358
-17.5000	-3.2675
-17.2500	-3.1029
-17.0000	-2.9422
-16.7500	-2.7857
-16.5000	-2.6333
-16.2500	-2.4853
-16.0000	-2.3418
-15.7500	-2.2029
-15.5000	-2.0688
-15.2500	-1.9397
-15.0000	-1.8156
-14.7500	-1.6968
-14.5000	-1.5834
-14.2500	-1.4755
-14.0000	-1.3732
-13.7500	-1.2768
-13.5000	-1.1864
-13.2500	-1.1021
-13.0000	-1.0240
-12.7500	-0.9524
-12.5000	-0.8873
-12.2500	-0.8289
-12.0000	-0.7772
-11.7500	-0.7325
-11.5000	-0.6948
-11.2500	-0.6642
-11.0000	-0.6409
-10.7500	-0.6248
-10.5000	-0.6162
-10.2500	-0.6151
-10.0000	-0.6216
-9.7500	-0.6357
-9.5000	-0.6576
-9.2500	-0.6872
-9.0000	-0.7246
-8.7500	-0.7700
-8.5000	-0.8233
-8.2500	-0.8846
