# Muv 	 log10_phi
-26.0000	-19.3196
-25.7500	-18.1162
-25.5000	-16.9036
-25.2500	-15.6929
-25.0000	-14.4926
-24.7500	-13.3117
-24.5000	-12.1606
-24.2500	-11.0545
-24.0000	-10.0257
-23.7500	-9.1339
-23.5000	-8.3921
-23.2500	-7.7746
-23.0000	-7.2515
-22.7500	-6.8002
-22.5000	-6.4050
-22.2500	-6.0540
-22.0000	-5.7379
-21.7500	-5.4503
-21.5000	-5.1866
-21.2500	-4.9436
-21.0000	-4.7183
-20.7500	-4.5083
-20.5000	-4.3113
-20.2500	-4.1256
-20.0000	-3.9499
-19.7500	-3.7829
-19.5000	-3.6237
-19.2500	-3.4711
-19.0000	-3.3240
-18.7500	-3.1814
-18.5000	-3.0427
-18.2500	-2.9072
-18.0000	-2.7746
-17.7500	-2.6446
-17.5000	-2.5169
-17.2500	-2.3915
-17.0000	-2.2682
-16.7500	-2.1469
-16.5000	-2.0277
-16.2500	-1.9105
-16.0000	-1.7955
-15.7500	-1.6828
-15.5000	-1.5725
-15.2500	-1.4649
-15.0000	-1.3603
-14.7500	-1.2588
-14.5000	-1.1608
-14.2500	-1.0666
-14.0000	-0.9765
-13.7500	-0.8907
-13.5000	-0.8096
-13.2500	-0.7335
-13.0000	-0.6626
-12.7500	-0.5973
-12.5000	-0.5379
-12.2500	-0.4845
-12.0000	-0.4374
-11.7500	-0.3968
-11.5000	-0.3630
-11.2500	-0.3362
-11.0000	-0.3165
-10.7500	-0.3041
-10.5000	-0.2991
-10.2500	-0.3017
-10.0000	-0.3121
-9.7500	-0.3303
-9.5000	-0.3565
-9.2500	-0.3908
-9.0000	-0.4332
-8.7500	-0.4838
-8.5000	-0.5427
-8.2500	-0.6101
