# Muv 	 log10_phi
-26.0000	-13.9139
-25.7500	-12.8152
-25.5000	-11.9040
-25.2500	-11.1399
-25.0000	-10.4853
-24.7500	-9.9142
-24.5000	-9.4114
-24.2500	-8.9655
-24.0000	-8.5661
-23.7500	-8.2030
-23.5000	-7.8681
-23.2500	-7.5562
-23.0000	-7.2646
-22.7500	-6.9916
-22.5000	-6.7353
-22.2500	-6.4936
-22.0000	-6.2638
-21.7500	-6.0436
-21.5000	-5.8310
-21.2500	-5.6246
-21.0000	-5.4235
-20.7500	-5.2274
-20.5000	-5.0357
-20.2500	-4.8482
-20.0000	-4.6646
-19.7500	-4.4846
-19.5000	-4.3078
-19.2500	-4.1341
-19.0000	-3.9632
-18.7500	-3.7950
-18.5000	-3.6294
-18.2500	-3.4666
-18.0000	-3.3064
-17.7500	-3.1492
-17.5000	-2.9948
-17.2500	-2.8435
-17.0000	-2.6953
-16.7500	-2.5505
-16.5000	-2.4090
-16.2500	-2.2710
-16.0000	-2.1368
-15.7500	-2.0065
-15.5000	-1.8802
-15.2500	-1.7581
-15.0000	-1.6405
-14.7500	-1.5275
-14.5000	-1.4193
-14.2500	-1.3161
-14.0000	-1.2180
-13.7500	-1.1254
-13.5000	-1.0383
-13.2500	-0.9570
-13.0000	-0.8816
-12.7500	-0.8124
-12.5000	-0.7495
-12.2500	-0.6930
-12.0000	-0.6432
-11.7500	-0.6002
-11.5000	-0.5641
-11.2500	-0.5350
-11.0000	-0.5131
-10.7500	-0.4986
-10.5000	-0.4914
-10.2500	-0.4918
-10.0000	-0.4997
-9.7500	-0.5154
-9.5000	-0.5388
-9.2500	-0.5701
-9.0000	-0.6093
-8.7500	-0.6564
-8.5000	-0.7117
-8.2500	-0.7750
