# Muv 	 log10_phi
-26.0000	-23.9712
-25.7500	-22.9434
-25.5000	-21.7201
-25.2500	-20.3690
-25.0000	-18.9679
-24.7500	-17.4487
-24.5000	-15.2515
-24.2500	-13.0466
-24.0000	-11.2221
-23.7500	-9.7218
-23.5000	-8.4738
-23.2500	-7.4486
-23.0000	-6.5296
-22.7500	-5.7131
-22.5000	-5.1250
-22.2500	-4.6804
-22.0000	-4.3393
-21.7500	-4.0673
-21.5000	-3.8367
-21.2500	-3.6354
-21.0000	-3.4597
-20.7500	-3.3047
-20.5000	-3.1649
-20.2500	-3.0360
-20.0000	-2.9163
-19.7500	-2.8051
-19.5000	-2.7013
-19.2500	-2.6031
-19.0000	-2.5085
-18.7500	-2.4161
-18.5000	-2.3249
-18.2500	-2.2349
-18.0000	-2.1460
-17.7500	-2.0584
-17.5000	-1.9717
-17.2500	-1.8858
-17.0000	-1.8004
-16.7500	-1.7152
-16.5000	-1.6302
-16.2500	-1.5453
-16.0000	-1.4606
-15.7500	-1.3761
-15.5000	-1.2921
-15.2500	-1.2087
-15.0000	-1.1260
-14.7500	-1.0442
-14.5000	-0.9637
-14.2500	-0.8848
-14.0000	-0.8077
-13.7500	-0.7330
-13.5000	-0.6611
-13.2500	-0.5924
-13.0000	-0.5275
-12.7500	-0.4668
-12.5000	-0.4108
-12.2500	-0.3600
-12.0000	-0.3148
-11.7500	-0.2757
-11.5000	-0.2430
-11.2500	-0.2172
-11.0000	-0.1985
-10.7500	-0.1873
-10.5000	-0.1839
-10.2500	-0.1885
-10.0000	-0.2015
-9.7500	-0.2228
-9.5000	-0.2529
-9.2500	-0.2919
-9.0000	-0.3398
-8.7500	-0.3969
-8.5000	-0.4633
-8.2500	-0.5391
