# Muv 	 log10_phi
-26.0000	-16.0156
-25.7500	-15.1267
-25.5000	-14.3317
-25.2500	-13.6193
-25.0000	-12.9774
-24.7500	-12.3950
-24.5000	-11.8620
-24.2500	-11.3706
-24.0000	-10.9151
-23.7500	-10.4910
-23.5000	-10.0947
-23.2500	-9.7227
-23.0000	-9.3714
-22.7500	-9.0376
-22.5000	-8.7182
-22.2500	-8.4110
-22.0000	-8.1142
-21.7500	-7.8265
-21.5000	-7.5471
-21.2500	-7.2752
-21.0000	-7.0101
-20.7500	-6.7512
-20.5000	-6.4980
-20.2500	-6.2501
-20.0000	-6.0073
-19.7500	-5.7692
-19.5000	-5.5359
-19.2500	-5.3072
-19.0000	-5.0833
-18.7500	-4.8642
-18.5000	-4.6501
-18.2500	-4.4409
-18.0000	-4.2369
-17.7500	-4.0382
-17.5000	-3.8448
-17.2500	-3.6569
-17.0000	-3.4745
-16.7500	-3.2978
-16.5000	-3.1267
-16.2500	-2.9615
-16.0000	-2.8022
-15.7500	-2.6488
-15.5000	-2.5014
-15.2500	-2.3601
-15.0000	-2.2250
-14.7500	-2.0961
-14.5000	-1.9734
-14.2500	-1.8572
-14.0000	-1.7474
-13.7500	-1.6441
-13.5000	-1.5474
-13.2500	-1.4574
-13.0000	-1.3741
-12.7500	-1.2977
-12.5000	-1.2282
-12.2500	-1.1657
-12.0000	-1.1102
-11.7500	-1.0619
-11.5000	-1.0208
-11.2500	-0.9869
-11.0000	-0.9604
-10.7500	-0.9412
-10.5000	-0.9295
-10.2500	-0.9253
-10.0000	-0.9286
-9.7500	-0.9395
-9.5000	-0.9581
-9.2500	-0.9843
-9.0000	-1.0182
-8.7500	-1.0600
-8.5000	-1.1095
-8.2500	-1.1668
